MetaItr,TestItr,AverageReturnLastTest,0AverageReturn,0NumTrajs,0StdReturn,0MaxReturn,0MinReturn,stage0_task0last_goal_dist,stage0_task1last_goal_dist,stage0_task2last_goal_dist,1AverageReturn,1NumTrajs,1StdReturn,1MaxReturn,1MinReturn,stage1_task0last_goal_dist,stage1_task1last_goal_dist,stage1_task2last_goal_dist,ILLoss,Time,ItrTime
8,0,533.7281203835412,462.155708540463,30,31.435586020074442,507.92562643332263,370.69830219541444,1.3094869661674007,1.1877215101397363,1.2485285265554176,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.19539757,362.50807785987854,31.08653950691223
9,1,541.9851701920126,464.83736275887634,30,33.70279845791376,540.2747699478992,395.43053783699423,1.24688495167973,1.2153906750714332,1.2135490338211525,541.9851701920126,30,30.92055361688686,567.3146904310817,496.3724076811429,0.9713315212251168,0.601340904282489,0.4319707627797418,nan,371.5052909851074,8.993627071380615
9,0,541.9851701920126,458.6766528403126,30,27.230065650008196,517.0107595936922,406.6354985071852,1.2072608674226755,1.3052788464176337,1.3089545032852838,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.18802708,402.46575379371643,30.9535813331604
10,1,529.1685499991243,438.78211635313926,30,35.184164377815364,507.29838116988617,366.161766887164,1.4682721951714721,1.4566403936270136,1.312296917795519,529.1685499991243,30,11.718854033646188,552.0701568726948,516.6341306358258,0.6843046833246824,0.5521724838534807,0.876463499938678,nan,411.529146194458,9.053956508636475
10,0,529.1685499991243,436.0852331980876,30,34.47594060425486,501.6551381428119,362.0814409696377,1.403619354659346,1.402465400173226,1.44701923147253,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.18091826,442.3646593093872,30.831962823867798
11,1,545.8674544877571,460.65550807179096,30,23.497762840833527,500.36600668887695,413.86600536409054,1.2979545222947209,1.337519734560634,1.2345914034653576,545.8674544877571,30,15.129618653702279,566.4754528030711,507.28622101539435,0.9706376974647665,0.5925302950868062,0.5893381442585498,nan,451.4285113811493,9.055184125900269
11,0,545.8674544877571,465.29329399200384,30,33.876604644372826,529.6785998714057,394.7793433938791,1.2236251369588689,1.2333459557069242,1.2955515975388194,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.17530604,482.32141280174255,30.883511066436768
12,1,571.112481408468,473.8715141008223,30,33.18662843560891,525.5980678383262,357.6970239889496,1.1362534745881168,1.0779707505444245,1.2668900883384366,571.112481408468,30,23.746159046609623,592.231397107105,512.7934430671922,0.27103183157713195,0.30718408917447315,0.4224790763572064,nan,491.15589022636414,8.821837663650513
12,0,571.112481408468,469.79775058674244,30,29.043047787277096,544.2634245957535,426.4161282259944,1.2101719377638265,1.0861885175269477,1.3077779999979673,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.19441378,522.0180139541626,30.856004238128662
13,1,564.7212458919835,462.5340098938951,30,38.14138655575262,520.2909777804609,327.92549572244064,1.1968224687590332,1.4496591529630396,1.2021227631496338,564.7212458919835,30,9.974808845284814,576.3757655969468,548.174059706829,0.5189887426222479,0.6948729328411601,0.5436004110710898,nan,531.076637506485,9.053435325622559
